Region,Country/Territory,2011,2021,2030,2045
Middle East and North Africa,Afghanistan,-,143.1,190.4,281.8
Europe,Albania,448,676.1,743.3,689.1
Middle East and North Africa,Algeria,415,862.8,"1,039.70","1,258.30"
Western Pacific,American Samoa,-,-,-,-
Europe,Andorra,"3,910.00","3,063.90","3,121.40","2,927.20"
Africa,Angola,277,519.8,731.4,"1,228.60"
North America and Caribbean,Anguilla,277,-,-,-
North America and Caribbean,Antigua and Barbuda,915,"1,015.80","1,129.70","1,161.90"
South and Central America,Argentina,967,"1,420.40","1,582.90","1,803.20"
Europe,Armenia,186,"1,174.30","1,462.50","1,305.30"
North America and Caribbean,Aruba,-,-,-,-
Western Pacific,Australia,"4,878.00","5,944.00","6,427.30","6,975.40"
Europe,Austria,"5,641.00","6,574.70","6,779.70","6,473.80"
Europe,Azerbaijan,366,482.4,623.9,669.3
North America and Caribbean,Bahamas,"2,056.00","2,496.60","2,808.80","3,037.80"
Middle East and North Africa,Bahrain,"1,331.00","1,324.90","1,683.30","1,980.00"
South-East Asia,Bangladesh,27,76.5,89.4,105.8
North America and Caribbean,Barbados,"1,139.00","1,106.40","1,122.80","1,028.10"
Europe,Belarus,412,"1,023.50","1,207.30","1,031.10"
Europe,Belgium,"5,862.00","6,433.20","6,568.20","6,304.90"
North America and Caribbean,Belize,299,830.5,"1,013.20","1,259.60"
Africa,Benin,60,181.6,253.8,424.5
North America and Caribbean,Bermuda,-,-,-,-
South-East Asia,Bhutan,174,194.7,239.4,274.4
South and Central America,Bolivia (Plurinational State of),125,898.8,"1,079.30","1,410.20"
Europe,Bosnia and Herzegovina,629,"1,125.20","1,209.70","1,076.70"
Africa,Botswana,816,"2,155.30","2,792.30","3,759.40"
South and Central America,Brazil,"1,038.00","2,728.50","3,070.40","3,269.50"
North America and Caribbean,British Virgin Islands,-,-,-,-
Western Pacific,Brunei Darussalam,"1,221.00",901.3,975.2,938.7
Europe,Bulgaria,532,"1,892.40","1,763.30","1,533.50"
Africa,Burkina Faso,69,192.3,267.2,442.2
Africa,Burundi,35,102.5,149.6,246.7
Africa,Cabo Verde,242,912.1,"1,108.90","1,143.10"
Western Pacific,Cambodia,82,261.5,336.8,426
Africa,Cameroon,109,286.2,390.1,606.7
North America and Caribbean,Canada,"5,106.00","4,802.90","5,012.00","5,130.80"
North America and Caribbean,Cayman Islands,-,-,-,-
Africa,Central African Republic,34,267.7,358.7,592.2
Africa,Chad,86,133.6,189.8,332.4
Europe,Channel Islands,-,-,-,-
South and Central America,Chile,"1,042.00","1,583.90","1,655.80","1,684.50"
Western Pacific,China,194,"1,173.50","1,313.30","1,371.10"
Western Pacific,"China, Hong Kong SAR","2,059.00",-,-,-
Western Pacific,"China, Macao SAR","1,072.00",-,-,-
South and Central America,Colombia,480,"1,772.80","1,973.30","2,141.40"
Africa,Comoros,46,205.6,272.1,403.7
Africa,Congo,143,251.4,323.8,498.1
Western Pacific,Cook Islands,501,-,-,-
South and Central America,Costa Rica,924,"2,890.00","3,337.10","3,529.50"
Europe,Croatia,"1,443.00","1,197.50","1,159.10",984.4
South and Central America,Cuba,811,"3,117.40","2,979.30","2,924.70"
North America and Caribbean,Curaçao,-,-,-,-
Europe,Cyprus,"2,162.00","2,570.80","2,745.40","2,846.70"
Europe,Czechia,"1,690.00","2,177.50","2,119.20","2,050.30"
Africa,Côte d'Ivoire,107,386.6,518.7,810.4
Western Pacific,Democratic People's Republic of Korea,-,-,-,-
Africa,Democratic Republic of the Congo,25,93.9,132.6,227.6
Europe,Denmark,"6,963.00","7,844.40","7,636.70","7,698.30"
Africa,Djibouti,131,288.2,330.4,382
North America and Caribbean,Dominica,457,"1,334.30","1,420.00","1,475.40"
South and Central America,Dominican Republic,414,"1,490.10","1,749.80","1,993.50"
South and Central America,Ecuador,337,"2,280.50","2,636.00","3,146.90"
Middle East and North Africa,Egypt,-,-,303.5,410
South and Central America,El Salvador,336,"1,061.80","1,222.90","1,388.90"
Africa,Equatorial Guinea,922,-,-,-
Africa,Eritrea,17,110.6,146.8,221.1
Europe,Estonia,"1,222.00","1,826.60","1,803.50","1,596.60"
Africa,Eswatini,246,"1,136.20","1,356.90","1,826.70"
Africa,Ethiopia,25,104.3,146.4,235.6
Europe,Faroe Islands,-,-,-,-
Western Pacific,Fiji,230,524.6,600.1,689
Europe,Finland,"4,976.00","5,514.60","5,230.80","4,990.00"
Europe,France,"5,632.00","5,760.10","5,803.50","5,611.90"
South and Central America,French Guiana,-,-,-,-
Western Pacific,French Polynesia,-,-,-,-
Africa,Gabon,387,"1,137.80","1,427.30","1,874.50"
Africa,Gambia,46,132.7,187.2,302.3
Europe,Georgia,332,877.1,942.8,858.7
Europe,Germany,"5,098.00","6,660.70","6,833.20","6,115.20"
Africa,Ghana,113,279.4,392.7,635
Europe,Greece,"3,419.00","1,747.10","1,730.10","1,582.40"
Europe,Greenland,-,-,-,-
North America and Caribbean,Grenada,742,"1,058.00","1,215.30","1,246.60"
North America and Caribbean,Guadeloupe,-,-,-,-
Western Pacific,Guam,-,-,-,-
South and Central America,Guatemala,314,888.5,"1,115.00","1,450.40"
Africa,Guinea,37,184.6,260.7,434.1
Africa,Guinea-Bissau,31,270.9,362.4,533.2
North America and Caribbean,Guyana,165,693,777.6,876.7
North America and Caribbean,Haiti,68,244.5,295.7,352.9
Europe,Holy See,-,-,-,-
South and Central America,Honduras,211,749.1,975.6,"1,314.40"
Europe,Hungary,"1,274.00","1,465.90","1,407.70","1,273.70"
Europe,Iceland,"6,278.00","8,400.70","8,891.70","8,982.60"
South-East Asia,India,68,114.4,138.9,173
Western Pacific,Indonesia,80,323.8,370.6,431.7
Middle East and North Africa,Iran (Islamic Republic of),405,"1,354.80","1,663.50","1,839.20"
Middle East and North Africa,Iraq,182,850.4,"1,090.80","1,581.10"
Europe,Ireland,"6,629.00","7,843.30","8,416.90","9,098.20"
Europe,Isle of Man,-,-,-,-
Europe,Israel,"2,748.00","4,807.40","5,429.40","6,509.60"
Europe,Italy,"3,541.00","3,280.80","3,256.40","2,939.90"
North America and Caribbean,Jamaica,335,884.9,996.2,"1,085.00"
Western Pacific,Japan,"3,266.00","3,239.30","2,988.60","2,674.00"
Middle East and North Africa,Jordan,544,980.7,"1,087.60","1,424.40"
Europe,Kazakhstan,468,764.2,911,956.6
Africa,Kenya,57,448.6,603.9,913.2
Western Pacific,Kiribati,232,493.8,605.9,781.7
Middle East and North Africa,Kuwait,"1,336.00","1,823.60","2,098.10","2,187.70"
Europe,Kyrgyzstan,79,231,291.4,344.3
Western Pacific,Lao People's Democratic Republic,62,202.9,261.5,346.7
Europe,Latvia,"1,101.00","1,335.00","1,242.70","1,012.90"
Middle East and North Africa,Lebanon,767,"1,930.80","2,038.20","2,326.60"
Africa,Lesotho,101,474.9,558.1,678.5
Africa,Liberia,47,231.2,302,458.5
Middle East and North Africa,Libya,699,-,-,-
Europe,Liechtenstein,-,-,-,-
Europe,Lithuania,"1,093.00","1,342.50","1,293.70","1,019.60"
Europe,Luxembourg,"9,341.00","8,192.50","9,280.50","10,116.60"
Africa,Madagascar,38,98.5,135.6,213.3
Africa,Malawi,31,150.7,207.6,333.1
Western Pacific,Malaysia,511,"1,090.70","1,275.70","1,425.60"
South-East Asia,Maldives,803,"1,867.40","2,071.40","2,132.90"
Africa,Mali,70,189.6,262.4,444.3
Europe,Malta,"1,611.00","2,837.60","2,758.90","2,569.10"
Western Pacific,Marshall Islands,519,"1,493.90","1,699.50","1,979.20"
North America and Caribbean,Martinique,-,-,-,-
Africa,Mauritania,48,284.5,386.4,571.8
South-East Asia,Mauritius,478,588.4,593.9,562.4
Africa,Mayotte,-,-,-,-
North America and Caribbean,Mexico,815,"1,412.30","1,596.70","1,804.90"
Western Pacific,Micronesia (Federated States of),472,"1,000.70","1,180.50","1,397.90"
Europe,Monaco,"7,128.00","3,416.90","3,634.80","3,622.90"
Western Pacific,Mongolia,107,584,639,704
Europe,Montenegro,-,-,-,-
Middle East and North Africa,Morocco,235,473.7,570.3,650.2
Africa,Mozambique,37,226.7,327.4,575.3
Western Pacific,Myanmar,16,168.1,194.9,236.2
